StrongNumber,Lemma,SenseNumber,English,Chinese,Instances,Category,BDAG agreement,LN agreement,Definition,Explanations
"3876","παρακοή",1,"disobedience",,"470100060070010 450050190050010 580020020140010",1,0,0,,
"4911","συνεφίστημι",1,"rise up together",,"440160220020010",2,0,0,,
"1999","ἐπίστασις",2,"stir up",,"440240120120010",1,0,0,,
"1999","ἐπίστασις",1,"pressure",,"470110280050010",1,0,0,,
"1646","ἐλάχιστος",3,"small",,"460060020200010",3,0,0,,
"1646","ἐλάχιστος",2,"very small",,"590030040140010",3,0,0,,
"1646","ἐλάχιστος",1,"little",,"400050190100010 420160100130010 460150090050010 420160100040010 400020060070010 400250450150010 400050190160010 400250400190010 420190170090010 420120260040010 460040030040010",3,0,0,,
"5139","Τραχωνῖτις",1,"trachonitis",,"420030010280010",3,0,0,,
"0603","ἀποκαραδοκία",2,"earnest expectation",,"500010200030010",1,0,0,,
"0603","ἀποκαραδοκία",1,"anticipation",,"450080190030010",1,0,0,,
"0320","ἀνάγνωσις",1,"reading",,"540040130050010 440130150040010 470030140160010",1,0,0,,
"2947","κυλίω",1,"roll around",,"410090200190010",2,0,0,,
"0736","ἀρτέμων",1,"foresail",,"440270400180010",1,0,0,,
"4301","προλαμβάνω",3,"catch",,"480060010040010",2,0,0,,
"4301","προλαμβάνω",2,"first take",,"460110210060010",2,0,0,,
"4301","προλαμβάνω",1,"beforehand",,"410140080040010",2,0,0,,
"3429","μοιχάω",1,"commit adultery",,"400050320230010 410100120100010 410100110130010 400190090170010",2,0,0,,
"5455","φωνέω",4,"cry out",,"410010260090010",2,0,0,,
"5455","φωνέω",3,"call out",,"440160280010010 420160240030010 420230460020010 420080080160010 440100180020010",2,0,0,,
"5455","φωνέω",2,"crow",,"430180270080010 410140720060010 410140300190010 400260340150010 420220600150010 420220610220010 410140720210010 400260740140010 420220340080010 430130380160010 410140680200010 400260750120010",2,0,0,,
"5455","φωνέω",1,"call",,"440100070090010 440090410070010 410150350090010 430110280170010 430010480160010 410100490060010 430100030160010 410100490090010 410100490160010 430120170120010 400200320050010 430110280060010 430040160040010 430130130020010 400270470100010 410090350030010 430020090230010 660140180150010 420190150120010 430090240010010 430090180150010 420140120130010 420080540070010 430180330100010 420160020020010",2,0,0,,
"0771","ἀσθένημα",1,"weakness",,"450150010070010",1,0,0,,
"5557","χρυσίον",1,"gold",,"660180160180010",1,0,0,,
"5515","χλωρός",2,"ashen",,"660060080060010",3,0,0,,
"5515","χλωρός",1,"green",,"660090040130010 660080070330010 410060390100010",3,0,0,,
"5087","τίθημι",21,"out set",,"430020100100010",2,0,0,,
"5087","τίθημι",20,"set aside",,"460160020080010",2,0,0,,
"5087","τίθημι",19,"bend",,"410150190110010",2,0,0,,
"5087","τίθημι",18,"sink in",,"420090440010010",2,0,0,,
"5087","τίθημι",17,"resolve",,"440190210050010",2,0,0,,
"5087","τίθημι",16,"present",,"410040300140010",2,0,0,,
"5087","τίθημι",15,"set down",,"420050180160010",2,0,0,,
"5087","τίθημι",14,"commit",,"470050190170010",2,0,0,,
"5087","τίθημι",13,"deposit",,"420190220200010 420190210110010",2,0,0,,
"5087","τίθημι",12,"make",,"460090180100010 440270120100010",2,0,0,,
"5087","τίθημι",11,"set",,"440010070150010 460120180050010",2,0,0,,
"5087","τίθημι",10,"keep",,"420010660020010 420210140010010",2,0,0,,
"5087","τίθημι",9,"lay down",,"430100110140010 620030160130010",2,0,0,,
"5087","τίθημι",8,"lie",,"600020060060010 460030110060010",2,0,0,,
"5087","τίθημι",7,"kneel down",,"440090400080010 420220410100010 440200360040010 440210050220010 440070600010010",2,0,0,,
"5087","τίθημι",6,"put",,"430130040060010 440090370120010 440030020120010 420120460280010 400240510110010 440050040140010",2,0,0,,
"5087","τίθημι",5,"appoint",,"540020070030010 550010110030010 580010020110010 430150160100010 600020080150010 520050090030010 460120280040010",2,0,0,,
"5087","τίθημι",4,"lie down",,"430100180140010 430100180080010 620030160220010 430100170090010 430130370180010 430100150140010 430150130110010 430130380080010",2,0,0,,
"5087","τίθημι",3,"make",,"420200430030010 580010130140010 580100130050010 450040170070010 610020060120010 440020350030010 440200280140010 440130470070010",2,0,0,,
