macula_greek_word_id	sense_number
n40026042011	2
n43003009007	2
n42016013024	1
n41009023008	1
n41001040016	1
n59001021015	1
n42003008021	1
n66005003003	1
n40020022020	1
n58005007014	1
n41010039005	1
n58002018007	1
n46010013029	1
n43010029012	1
n46010013019	1
n46006005013	1
n40022046003	1
n40010028019	1
n55003015010	1
n41010038010	1
n41005003013	1
n58007025007	1
n45015014020	1
n41004033010	1
n49006013009	1
n66006017012	1
n49003020003	1
n55003007009	1
n40003009015	1
n40020022010	1
n66013004022	1
n65001024003	1
n49006016010	1
n44024008003	1
n59004012008	1
n44020032015	1
n48003021016	1
n42021015010	1
n47013008003	1
n40010028013	1
n42019003010	1
n41002004003	1
n46003002013	1
n46003002008	1
n40019012030	1
n66015008018	1
n66003008013	1
n47001004011	1
n66009020046	1
n46007021009	1
n43009033008	1
n41006005003	1
n62003009018	1
n42012026005	1
n42016026020	1
n46002014017	1
n44024011001	1
n45016025003	1
n49003004003	1
n41009039019	1
n41003020012	1
n47003007016	1
n43005019013	1
n44021034010	1
n46003001004	1
n58005002002	1
n58009009016	1
n41014007011	1
n43007034013	1
n40006024002	1
n43003005016	1
n42018026007	1
n43006052009	1
n54006007011	1
n58010001026	1
n46010021010	1
n44004016022	1
n46014031001	1
n43005044002	1
n42006042002	1
n41014005001	1
n44017019010	1
n44026032007	1
n52002007001	1
n41001045014	1
n41015031016	1
n43015004011	1
n44004020002	1
n44027015007	1
n42001020007	1
n43014017009	1
n58004015006	1
n58003019005	1
n43012039004	1
n41007015010	1
n43009016023	1
n54005025014	1
n40005036009	1
n44024013003	1
n41009029009	1
n46003011005	1
n54006016014	1
n42009040011	1
n40027042005	1
n44013038019	1
n40012034004	1
n43008021021	1
n43003003016	1
n41003027003	1
n40009015007	1
n43007007002	1
n43015005023	1
n66014003019	1
n44010047004	1
n43003002018	1
n45008008009	1
n41002019028	1
n43011037007	1
n42014027012	1
n43009004016	1
n43007036020	1
n40005014008	1
n44019040015	1
n42008019013	1
n66007009012	1
n40007018002	1
n43006060015	1
n42014033014	1
n43003004007	1
n42012025006	1
n41007018020	1
n42006039007	1
n43006065009	1
n62004020030	1
n40006027006	1
n42016002019	1
n55002013010	1
n42016013003	1
n43014005010	1
n40008002011	1
n42013011014	1
n43013036014	1
n41009028016	1
n40017016009	1
n41002019007	1
n59003008006	1
n42005021017	1
n43003004013	1
n40017019014	1
n59003012002	1
n41008004010	1
n49006011008	1
n45008039009	1
n41009003015	1
n43006044002	1
n42005034008	1
n43008022015	1
n43008043011	1
n41002007007	1
n59002014016	1
n43010035014	1
n46012003015	1
n58010011017	1
n40012029003	1
n41010026010	1
n40019025010	1
n44015001019	1
n40006024023	1
n46015050013	1
n43013033020	1
n42005012029	1
n44027031019	1
n46012021002	1
n59004002010	1
n43010021011	1
n42014026034	1
n44025011024	1
n44027043015	1
n41007024018	1
n52003009004	1
n44008031007	1
n50003010016	1
n47003018009	1
n44016016022	1
n57001023005	1
n51004010005	1
n45016007009	1
n40013020005	1
n40013005006	1
n41004016007	1
n41004005006	1
n56003014011	3
n44010024020	2
n44013046011	1
n46012022011	1
n58008003013	1
n50002025001	1
n47009005001	1
n50001024007	1
n58013007017	3
n49004022006	2
n60001018013	2
n48001013005	2
n61002007011	1
n54004012014	1
n61003011011	1
n60002012002	1
n60001015012	1
n59003013011	1
n60003001019	1
n60003016021	1
n60003002006	1
n40024012004	2
n44006001006	2
n44009031028	2
n44006007008	1
n44007017018	1
n58006014009	1
n61001002005	1
n65001002007	1
n47009010013	1
n58006014008	1
n60001002019	1
n44012024008	1
n51002016014	1
n40026005006	1
n41014002006	1
n43013029020	1
n43011056022	1
n43004045026	1
n43005001004	1
n43007011008	1
n42002041011	1
n43007002005	1
n43007008005	1
n43012012010	1
n43007010009	1
n43007008011	1
n43002023012	1
n42022001004	1
n43007037009	1
n42002042012	1
n43012020012	1
n43007014004	1
n43013001004	1
n43006004007	1
n43004045019	1
n40027015003	1
n41015006003	1
n43011038013	2
n66006015027	2
n58011038013	2
n40021013015	1
n42019046015	1
n41011017022	1
n60001017016	1
n44013017017	1
n43007042012	1
n58013016003	1
n44027040005	5
n44027032010	4
n42022051006	3
n44019030009	2
n40024043019	2
n44028004031	1
n42004041020	1
n46010013014	1
n44023032004	1
n44016007013	1
n44014016006	1
n40012007015	1
n40012005019	1
n47007001016	1
n45001004009	1
n52003013009	1
n66014002023	2
n46014007022	1
n41014003017	1
n40026007005	1
n42007037020	1
n41014003024	1
n44012014014	1
n42004022011	7
n47001015012	6
n46016003013	5
n47008019014	5
n42006034010	4
n42006033010	4
n42006032009	4
n47009015001	3
n45006017001	3
n47002014004	3
n45007025001	3
n47008016001	3
n46015057004	3
n42017009003	3
n54001012001	3
n55001003001	3
n46010030003	3
n47008004007	2
n44025009007	2
n44002047006	2
n44024027012	2
n42002052010	2
n60002020016	2
n60002019003	2
n44007010012	2
n44007046003	2
n44025003002	2
n52005028002	1
n44011023006	1
n49004029020	1
n56002011004	1
n49003007008	1
n46003010003	1
n47013013002	1
n46001003001	1
n47001012026	1
n43001014021	1
n44015040008	1
n44015011004	1
n59004006004	1
n47009014011	1
n45006001009	1
n47008009004	1
n48001006011	1
n47008001006	1
n45005021012	1
n66022021002	1
n45016020016	1
n49001006005	1
n61003018004	1
n44013043025	1
n60005005019	1
n45005020015	1
n48005004009	1
n48006018002	1
n53001012017	1
n45015015012	1
n45011006009	1
n58012015007	1
n57001003001	1
n46016023002	1
n49001007018	1
n45006014013	1
n49002007012	1
n45006015011	1
n51001006026	1
n45011006012	1
n44018027024	1
n45005015022	1
n51001002010	1
n51004018012	1
n44004033014	1
n43001016012	1
n52001001016	1
n53002016025	1
n60005012018	1
n45004016007	1
n48002021004	1
n65001004017	1
n57001025002	1
n58010029026	1
n60001002015	1
n44014003016	1
n56003015014	1
n50001002001	1
n47001002001	1
n42002040010	1
n45001007010	1
n61001002001	1
n44006008004	1
n58004016008	1
n49003008008	1
n50001007034	1
n48001003001	1
n47012009007	1
n49004007007	1
n60004010013	1
n60005010005	1
n60001013015	1
n45012006006	1
n63001003004	1
n46015010009	1
n45005017019	1
n53001002001	1
n47004015008	1
n54001002006	1
n48001015017	1
n55001002004	1
n45003024005	1
n44014026009	1
n58013025002	1
n54006021009	1
n55002001008	1
n47009008006	1
n60001010013	1
n55004022008	1
n45012003005	1
n45005015029	1
n49006024002	1
n56001004007	1
n53003018002	1
n43001016010	1
n45005002011	1
n59004006014	1
n48002009004	1
n44020024027	1
n56003007005	1
n44020032012	1
n49003002007	1
n66001004009	1
n45001005004	1
n50004023002	1
n58004016013	1
n46001004010	1
n43001017008	1
n55001009018	1
n47006001009	1
n49001002001	1
n54001014004	1
n60003007017	1
n46015010027	1
n51004006006	1
n45011005011	1
n47008006016	1
n47008007026	1
n58002009020	1
n46015010001	1
n49002008003	1
n58013009009	1
n49002005010	1
n45011006003	1
n58012028006	1
n45004004009	1
n51003016022	1
n58006006014	1
n47004002012	1
n54001010003	1
n56002008003	1
n45001025011	1
n53001005001	1
n45012013005	3
n58002014005	2
n50004015018	1
n54005022006	1
n45015027012	1
n48006006001	1
n60004013003	1
n63001011006	1
n40023037024	1
n41015037007	1
n41015039012	1
n42023046019	1
